NIC code,Division Description,Group Description,Reg.No,Name of the factory,H.P.,Men,Women,Total,Max. Empt.,Ave. Empt.
8106,Other mining and quarrying,Quarrying of stone,67803,Rank Silicon& Industries Pvt. Ltd.,895,25,0,25,50,25
31003,Manufacture of furniture,Manufacture of furniture,97492,Luxus India Pvt. Ltd.,167,45,5,50,50,50
27504,Manufacture of electrical equipment,Manufacture of domestic appliances,62900,Titan Energy Systems,690,140,20,160,250,160
29301,Manufacture of motor vehicles,Manufacture of parts and accessories for motor vehicles,67330,Lokesh Machines Ltd.,5000,300,0,300,500,300
17013,Manufacture of paper and paper products,Manufacture of paper and paper products,65828,S.M.M. Paper Marketing U-II,28,25,5,30,15,30
25999,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,97784,Bharathi Engg.Works,150,38,0,38,50,38
18121,Printing and reproduction of recorded media,Printing and service activities related to printing,97142,Star Stationery Manufacturers,224,65,20,85,100,85
10796,Manufacture of food products,Manufacture of other food products,97297,Patwari Foods Pvt. Ltd.,490,125,15,140,150,140
22209,Manufacture of rubber and plastics products,Manufacture of plastics products,97785,Agasthy Poly Pack Pvt. Ltd.,145,10,0,10,20,10
52109,Warehousing and support activities for transportation,Warehousing and storage,97851,Himalaya Cold Storage,209,12,3,15,20,15
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97151,GNR Cold storage Pvt. Ltd.,134,11,0,11,20,11
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97580,Jam Jam Cold Storage & Agro Pvt.Ltd.,217.5,16,0,16,20,16
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97075,Ultra Reach Agri Markets Ltd.,87,10,20,30,50,30
25993,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,67996,Patil Steel Wires Pvt. Ltd.,209,25,0,25,50,25
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,62414,Chenai Seeds & Oils Ltd.,100 KVA,24,38,62,100,62
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,62643,Ultra Seedtech (India) Pvt. Ltd.,125kv,40,15,55,100,55
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67997,Bisco - Bio Sciences Pvt. Ltd.,487,123,11,134,150,134
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67464,PHI Seeds Pvt. Ltd.,3448,275,75,350,500,350
11019,Manufacture of beverages,Manufacture of beverages,67019,RK Distilleries Pvt. Ltd.,286,105,70,175,250,175
13111,Manufacture of textiles,Spinning,62727,Sriram Spinning Mills Ltd.,3000,290,45,335,500,335
22202,Manufacture of rubber and plastics products,Manufacture of plastics products,62726,Sangam Health Care Product Ltd.,3131,120,150,270,500,270
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97150,Gubba Green Cold Pvt. Ltd.,134,11,0,11,20,11
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97190,Ultra Reach  Finance Co. Ltd.,87,10,0,10,20,10
45200,Wholesale and retail trade and repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,97334,DRS Logistics Pvt. Ltd.,91,56,2,58,100,58
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97718,Gubba Cold Storage Ltd.,284.5,19,0,19,20,19
17022,Manufacture of paper and paper products,Manufacture of paper and paper products,62677,Vivala Cartons Pvt. Ltd.,75,15,10,25,50,25
17022,Manufacture of paper and paper products,Manufacture of paper and paper products,97644,Omni Paper Convertors Pvt. Ltd.,255,80,5,85,100,85
17022,Manufacture of paper and paper products,Manufacture of paper and paper products,97731,"JDM Fruit Products Pvt. Ltd.,",74,24,0,24,50,24
32409,Manufacture of games and toys,Manufacture of games and toys,97869,"Benny & Bunny Toys India Pvt.Ltd,",30,95,2,97,150,97
